cardname,cardq,cardid,cardrarity,cardcondition,card_edition,cardset,cardcode
The A. Forces,3,403847,Rare,M,1st Edition,Legacy of Darkness,LOD-EN027
Stamping Destruction,3,81385346,Common,M,1st Edition,Legacy of Darkness,LOD-EN046
Robolady,3,92421852,Common,M,1st Edition,Legacy of Darkness,LOD-054
Bubble Crash,3,61622107,Common,M,1st Edition,Legacy of Darkness,LOD-EN090
Throwstone Unit,4,76075810,Common,M,1st Edition,Legacy of Darkness,LOD-EN017
Dragon Manipulator,5,63018132,Common,M,1st Edition,Legacy of Darkness,LOD-EN026
Fusion Sword Murasame Blade,1,37684215,Rare,M,1st Edition,Legacy of Darkness,LOD-EN079
Bad Reaction to Simochi,3,40633297,Common,M,1st Edition,Legacy of Darkness,LOD-EN093
Luster Dragon #2,1,17658803,Super Rare,M,1st Edition,Legacy of Darkness,LOD-EN050
Convulsion of Nature,6,62966332,Common,M,1st Edition,Legacy of Darkness,LOD-EN084
Roboyarou,1,38916461,Common,M,1st Edition,Legacy of Darkness,LOD-055
The Secret of the Bandit,1,99351431,Common,M,1st Edition,Legacy of Darkness,LOD-085
Shadow Tamer,1,37620434,Rare,M,1st Edition,Legacy of Darkness,LOD-EN025
Maharaghi,3,40695128,Common,M,1st Edition,Legacy of Darkness,LOD-064
Ryu-Kishin Clown,2,42647539,Common,M,1st Edition,Legacy of Darkness,LOD-007
Opticlops,3,14531242,Rare,M,1st Edition,Legacy of Darkness,LOD-EN009
Lesser Fiend,1,16475472,Rare,M,1st Edition,Legacy of Darkness,LOD-EN003
The Puppet Magic of Dark Ruler,2,40703393,Common,M,1st Edition,Legacy of Darkness,LOD-013
Skull Knight #2,2,15653824,Common,M,1st Edition,Legacy of Darkness,LOD-EN006
Marauding Captain,1,2460565,Ultra Rare,M,1st Edition,Legacy of Darkness,LOD-018
Troop Dragon,3,55013285,Common,M,1st Edition,Legacy of Darkness,LOD-042
Twin-Headed Wolf,2,88132637,Common,M,1st Edition,Legacy of Darkness,LOD-EN008
Susa Soldier,1,40473581,Rare,M,1st Edition,Legacy of Darkness,LOD-EN066
Super Robolady,2,75923050,Common,M,1st Edition,Legacy of Darkness,LOD-EN073
Spear Dragon,1,31553716,Super Rare,M,1st Edition,Legacy of Darkness,LOD-035
Nutrient Z,2,29389368,Common,M,1st Edition,Legacy of Darkness,LOD-EN096
Royal Oppression,1,93016201,Rare,M,1st Edition,Legacy of Darkness,LOD-091
Yamata Dragon,1,76862289,Ultra Rare,M,1st Edition,Legacy of Darkness,LOD-EN067
The Illusory Gentleman,1,83764996,Common,M,1st Edition,Legacy of Darkness,LOD-EN053
Spiritual Energy Settle Machine,2,99173029,Common,M,1st Edition,Legacy of Darkness,LOD-082
Blast with Chain,1,98239899,Rare,M,1st Edition,Legacy of Darkness,LOD-EN088
Fiend Skull Dragon,1,66235877,Super Rare,M,1st Edition,Legacy of Darkness,LOD-EN039
Buster Rancher,3,84740193,Common,M,1st Edition,Pharaonic Guardian,PGD-085
Servant of Catabolism,2,2792265,Common,M,1st Edition,Pharaonic Guardian,PGD-012
Poison Mummy,2,43716289,Common,M,1st Edition,Pharaonic Guardian,PGD-016
Swarm of Scarabs,4,15383415,Common,M,1st Edition,Pharaonic Guardian,PGD-021
Souleater,5,31242786,Common,M,1st Edition,Pharaonic Guardian,PGD-003
Card Shuffle,4,12183332,Common,M,1st Edition,Pharaonic Guardian,PGD-080
A Cat of Ill Omen,3,24140059,Common,M,1st Edition,Pharaonic Guardian,PGD-070
Arsenal Bug,4,42364374,Common,M,1st Edition,Pharaonic Guardian,PGD-007
Book of Moon,1,14087893,Rare,M,1st Edition,Pharaonic Guardian,PGD-035
Tutan Mask,3,3149764,Common,M,1st Edition,Pharaonic Guardian,PGD-041
Gravekeeper's Cannonholder,5,99877698,Common,M,1st Edition,Pharaonic Guardian,PGD-066
Swarm of Locusts,5,41872150,Common,M,1st Edition,Pharaonic Guardian,PGD-022
Gravekeeper's Vassal,6,99690140,Common,M,1st Edition,Pharaonic Guardian,PGD-063
Pyro Clock of Destiny,4,1082946,Common,M,1st Edition,Pharaonic Guardian,PGD-050
Hieroglyph Lithograph,3,10248192,Common,M,1st Edition,Pharaonic Guardian,PGD-086
Gravekeeper's Curse,2,50712728,Common,M,1st Edition,Pharaonic Guardian,PGD-060
Ordeal of a Traveler,4,39537362,Common,M,1st Edition,Pharaonic Guardian,PGD-042
Newdoria,3,4335645,Rare,M,1st Edition,Pharaonic Guardian,PGD-057
Charm of Shabti,2,50412166,Common,M,1st Edition,Pharaonic Guardian,PGD-074
Royal Tribute,5,72405967,Common,M,1st Edition,Pharaonic Guardian,PGD-091
Birdface,3,45547649,Common,M,1st Edition,Pharaonic Guardian,PGD-005
Dark Coffin,4,1804528,Common,M,1st Edition,Pharaonic Guardian,PGD-047
Giant Axe Mummy,5,78266168,Common,M,1st Edition,Pharaonic Guardian,PGD-023
Coffin Seller,2,65830223,Rare,M,1st Edition,Pharaonic Guardian,PGD-093
Call of the Mummy,2,4861205,Common,M,1st Edition,Pharaonic Guardian,PGD-038
Reversal Quiz,3,5990062,Common,M,1st Edition,Pharaonic Guardian,PGD-092
Rite of Spirit,1,30450531,Common,M,1st Edition,Pharaonic Guardian,PGD-100
Terraforming,3,73628505,Common,M,1st Edition,Pharaonic Guardian,PGD-088
Maiden of the Aqua,1,17214465,Common,M,1st Edition,Pharaonic Guardian,PGD-008
King Tiger Wanghu,2,83986578,Rare,M,1st Edition,Pharaonic Guardian,PGD-004
Ring of Destruction,1,83555666,Secret Rare,M,1st Edition,Pharaonic Guardian,PGD-000
Pyramid Energy,2,76754619,Common,M,1st Edition,Pharaonic Guardian,PGD-040
Dark Snake Syndrome,4,47233801,Common,M,1st Edition,Pharaonic Guardian,PGD-087
Disturbance Strategy,4,77561728,Common,M,1st Edition,Pharaonic Guardian,PGD-098
Narrow Pass,3,40172183,Common,M,1st Edition,Pharaonic Guardian,PGD-097
Pyramid Turtle,2,77044671,Rare,M,1st Edition,Pharaonic Guardian,PGD-026
Timeater,2,44913552,Common,M,1st Edition,Pharaonic Guardian,PGD-010
Banner of Courage,3,10012614,Common,M,1st Edition,Pharaonic Guardian,PGD-089
A Man with Wdjat,2,51351302,Common,M,1st Edition,Pharaonic Guardian,PGD-068
Book of Taiyou,5,38699854,Common,M,1st Edition,Pharaonic Guardian,PGD-034
Reasoning,4,58577036,Common,M,1st Edition,Pharaonic Guardian,PGD-081
Mucus Yolk,2,70307656,Common,M,1st Edition,Pharaonic Guardian,PGD-011
Wandering Mummy,3,42994702,Rare,M,1st Edition,Pharaonic Guardian,PGD-019
Raigeki Break,5,4178474,Common,M,1st Edition,Pharaonic Guardian,PGD-096
Non Aggression Area,4,76848240,Common,M,1st Edition,Pharaonic Guardian,PGD-101
Dark Designator,1,78053598,Rare,M,1st Edition,Pharaonic Guardian,PGD-079
8-Claws Scorpion,2,14261867,Common,M,1st Edition,Pharaonic Guardian,PGD-024
Kryuel,2,82642348,Common,M,1st Edition,Pharaonic Guardian,PGD-006
Timidity,5,40350910,Common,M,1st Edition,Pharaonic Guardian,PGD-039
Byser Shock,1,17597059,Ultra Rare,M,1st Edition,Pharaonic Guardian,PGD-103
Nightmare Horse,3,59290628,Common,M,1st Edition,Pharaonic Guardian,PGD-077
Master Kyonshee,3,24530661,Common,M,1st Edition,Pharaonic Guardian,PGD-053
An Owl of Luck,2,23927567,Common,M,1st Edition,Pharaonic Guardian,PGD-073
Yomi Ship,2,51534754,Common,M,1st Edition,Pharaonic Guardian,PGD-071
Gravekeeper's Watcher,3,26084285,Rare,M,1st Edition,Pharaonic Guardian,PGD-064
Needle Ceiling,4,38411870,Common,M,1st Edition,Pharaonic Guardian,PGD-045
Dark Scorpion Burglars,2,40933924,Common,M,1st Edition,Pharaonic Guardian,PGD-028
Bottomless Shifting Sand,5,76532077,Common,M,1st Edition,Pharaonic Guardian,PGD-043
Cobraman Sakuzy,2,75109441,Common,M,1st Edition,Pharaonic Guardian,PGD-032
Royal Keeper,1,16509093,Common,M,1st Edition,Pharaonic Guardian,PGD-018
Cobra Jar,2,86801871,Common,M,1st Edition,Pharaonic Guardian,PGD-075
Moisture Creature,2,75285069,Rare,M,1st Edition,Pharaonic Guardian,PGD-013
Reaper on the Nightmare,1,85684223,Super Rare,M,1st Edition,Pharaonic Guardian,PGD-078
D. Tribe,2,2833249,Common,M,1st Edition,Pharaonic Guardian,PGD-102
Trap of Board Eraser,1,3055837,Super Rare,M,1st Edition,Pharaonic Guardian,PGD-099
Gravekeeper's Assailant,1,25262697,Common,M,1st Edition,Pharaonic Guardian,PGD-067
Gravekeeper's Chief,1,62473983,Super Rare,M,1st Edition,Pharaonic Guardian,PGD-065
Curse of Aging,4,41398771,Common,M,1st Edition,Pharaonic Guardian,PGD-094
Gora Turtle,1,80233946,Rare,M,1st Edition,Pharaonic Guardian,PGD-014
Helpoemer,1,76052811,Ultra Rare,M,1st Edition,Pharaonic Guardian,PGD-058
Trap Dustshoot,3,64697231,Common,M,1st Edition,Pharaonic Guardian,PGD-049
Gravekeeper's Spear Soldier,1,63695531,Common,M,1st Edition,Pharaonic Guardian,PGD-062
Needle Wall,2,38299233,Common,M,1st Edition,Pharaonic Guardian,PGD-048
Gravekeeper's Spy,3,24317029,Common,M,1st Edition,Pharaonic Guardian,PGD-059
Gravekeeper's Guard,2,37101832,Common,M,1st Edition,Pharaonic Guardian,PGD-061
Shapesnatch,1,4035199,Common,M,1st Edition,Pharaonic Guardian,PGD-002
Curse of Royal,2,2926176,Rare,M,1st Edition,Pharaonic Guardian,PGD-044
Inpachi,1,97923414,Common,M,1st Edition,Pharaonic Guardian,PGD-055
Different Dimension Capsule,2,11961740,Common,M,1st Edition,Pharaonic Guardian,PGD-083
Reckless Greed,1,37576645,Rare,M,1st Edition,Pharaonic Guardian,PGD-051
Spirit Reaper,1,23205979,Rare,M,1st Edition,Pharaonic Guardian,PGD-076
Barrel Behind the Door,1,78783370,Super Rare,M,1st Edition,Pharaonic Guardian,PGD-095
Royal Magical Library,1,70791313,Common,M,1st Edition,Magician's Force,MFC-074
Senri Eye,3,60391791,Common,M,1st Edition,Magician's Force,MFC-089
Amazoness Paladin,3,47480070,Common,M,1st Edition,Magician's Force,MFC-059
Amazoness Spellcaster,4,81325903,Common,M,1st Edition,Magician's Force,MFC-084
Kiryu,6,84814897,Common,M,1st Edition,Magician's Force,MFC-009
Wave-Motion Cannon,1,38992735,Common,M,1st Edition,Magician's Force,MFC-040
Great Angus,4,11813953,Common,M,1st Edition,Magician's Force,MFC-055
Dark Cat with White Tail,5,8634636,Common,M,1st Edition,Magician's Force,MFC-083
Combination Attack,1,8964854,Rare,M,1st Edition,Magician's Force,MFC-030
Pixie Knight,2,35429292,Common,M,1st Edition,Magician's Force,MFC-070
Remove Brainwashing,3,94739788,Common,M,1st Edition,Magician's Force,MFC-101
Neko Mane King,4,11021521,Common,M,1st Edition,Magician's Force,MFC-021
Giant Orc,3,73698349,Common,M,1st Edition,Magician's Force,MFC-012
Magical Marionette,3,8034697,Common,M,1st Edition,Magician's Force,MFC-069
United Resistance,3,85936485,Common,M,1st Edition,Magician's Force,MFC-003
Magical Merchant,5,32362575,Common,M,1st Edition,Magician's Force,MFC-079
Dark Blade,1,11321183,Rare,M,1st Edition,Magician's Force,MFC-007
Magical Scientist,6,34206604,Common,M,1st Edition,Magician's Force,MFC-073
Decayed Commander,3,10209545,Common,M,1st Edition,Magician's Force,MFC-010
Meteorain,5,64274292,Common,M,1st Edition,Magician's Force,MFC-044
Gather Your Mind,3,7512044,Common,M,1st Edition,Magician's Force,MFC-087
Magical Plant Mandragola,3,7802006,Common,M,1st Edition,Magician's Force,MFC-072
Amazoness Blowpiper,3,73574678,Common,M,1st Edition,Magician's Force,MFC-062
Ante,1,34236961,Rare,M,1st Edition,Magician's Force,MFC-034
Huge Revolution,3,65396880,Common,M,1st Edition,Magician's Force,MFC-041
Roulette Barrel,2,46303688,Common,M,1st Edition,Magician's Force,MFC-025
Oppressed People,2,58538870,Common,M,1st Edition,Magician's Force,MFC-002
Burning Beast,3,59364406,Common,M,1st Edition,Magician's Force,MFC-016
Emblem of Dragon Destroyer,4,6390406,Common,M,1st Edition,Magician's Force,MFC-090
Secret Barrel,2,27053506,Common,M,1st Edition,Magician's Force,MFC-046
Metalsilver Armor,5,33114323,Common,M,1st Edition,Magician's Force,MFC-037
Big Bang Shot,2,61127349,Rare,M,1st Edition,Magician's Force,MFC-086
Autonomous Action Unit,1,71453557,Common,M,1st Edition,Magician's Force,MFC-032
Vampiric Orchis,6,46571052,Common,M,1st Edition,Magician's Force,MFC-014
My Body as a Shield,1,69279219,Common,M,1st Edition,Magician's Force,MFC-092
Dramatic Rescue,3,80193355,Rare,M,1st Edition,Magician's Force,MFC-097
Amazoness Archers,1,67987611,Super Rare,M,1st Edition,Magician's Force,MFC-096
Des Dendle,1,12965761,Common,M,1st Edition,Magician's Force,MFC-015
Sonic Duck,3,84696266,Common,M,1st Edition,Magician's Force,MFC-057
Amazoness Fighter,3,55821894,Common,M,1st Edition,Magician's Force,MFC-060
Mass Driver,5,34906152,Common,M,1st Edition,Magician's Force,MFC-088
Anti-Spell,3,53112492,Common,M,1st Edition,Magician's Force,MFC-103
Disarmament,1,20727787,Common,M,1st Edition,Magician's Force,MFC-102
Freezing Beast,3,85359414,Common,M,1st Edition,Magician's Force,MFC-017
Old Vindictive Magician,3,45141844,Common,M,1st Edition,Magician's Force,MFC-067
Pitch-Dark Dragon,4,47415292,Common,M,1st Edition,Magician's Force,MFC-008
Amazoness Tiger,3,10979723,Rare,M,1st Edition,Magician's Force,MFC-063
Adhesion Trap Hole,4,62325062,Common,M,1st Edition,Magician's Force,MFC-050
Union Rider,3,11743119,Common,M,1st Edition,Magician's Force,MFC-018
Spell Shield Type-8,1,38275183,Super Rare,M,1st Edition,Magician's Force,MFC-043
Frontline Base,1,46181000,Common,M,1st Edition,Magician's Force,MFC-028
Cat's Ear Tribe,2,95841282,Rare,M,1st Edition,Magician's Force,MFC-081
Chaos Command Magician,1,72630549,Ultra Rare,M,1st Edition,Magician's Force,MFC-068
Rivalry of Warlords,5,90846359,Common,M,1st Edition,Magician's Force,MFC-048
Hidden Spellbook,2,21840375,Common,M,1st Edition,Magician's Force,MFC-099
Raregold Armor,3,7625614,Common,M,1st Edition,Magician's Force,MFC-036
Apprentice Magician,1,9156135,Rare,M,1st Edition,Magician's Force,MFC-066
Miracle Restoring,3,68334074,Common,M,1st Edition,Magician's Force,MFC-100
Formation Union,3,26931058,Common,M,1st Edition,Magician's Force,MFC-049
Tribute Doll,2,2903036,Rare,M,1st Edition,Magician's Force,MFC-039
Dimension Jar,2,73414375,Common,M,1st Edition,Magician's Force,MFC-023
Spellbook Organization,2,96677818,Common,M,1st Edition,Magician's Force,MFC-093
Kishido Spirit,3,60519422,Common,M,1st Edition,Magician's Force,MFC-038
Koitsu,1,69456283,Common,M,1st Edition,Magician's Force,MFC-080
Thunder of Ruler,3,91781589,Common,M,1st Edition,Magician's Force,MFC-042
Second Goblin,2,19086954,Common,M,1st Edition,Magician's Force,MFC-013
Demotion,3,72575145,Common,M,1st Edition,Magician's Force,MFC-029
Des Koala,1,69579761,Rare,M,1st Edition,Magician's Force,MFC-077
Spell Canceller,1,84636823,Ultra Rare,M,1st Edition,Magician's Force,MFC-020
Exhausting Spell,2,95451366,Common,M,1st Edition,Magician's Force,MFC-098
Armor Exe,1,7180418,Rare,M,1st Edition,Magician's Force,MFC-075
Kaiser Colosseum,2,35059553,Common,M,1st Edition,Magician's Force,MFC-031
People Running About,1,12143771,Common,M,1st Edition,Magician's Force,MFC-001
Mega Ton Magical Cannon,2,32062913,Rare,M,1st Edition,Magician's Force,MFC-094
The Spell Absorbing Life,2,99517131,Common,M,1st Edition,Magician's Force,MFC-104
Ultimate Obedient Fiend,2,32240937,Common,M,1st Edition,Magician's Force,MFC-082
Pitch-Black Power Stone,2,34029630,Common,M,1st Edition,Magician's Force,MFC-095
Aitsu,1,48202661,Common,M,1st Edition,Magician's Force,MFC-056
Great Phantom Thief,2,10809984,Rare,M,1st Edition,Magician's Force,MFC-024
Poison of the Old Man,1,8842266,Common,M,1st Edition,Magician's Force,MFC-033
Dark Core,1,70231910,Rare,M,1st Edition,Magician's Force,MFC-035
Pineapple Blast,1,90669991,Common,M,1st Edition,Magician's Force,MFC-045
Physical Double,1,63442604,Common,M,1st Edition,Magician's Force,MFC-047
Zombie Tiger,1,47693640,Common,M,1st Edition,Magician's Force,MFC-011
D.D. Crazy Beast,1,48148828,Rare,M,1st Edition,Magician's Force,MFC-019
Dragged Down into the Grave,4,16435215,Common,M,1st Edition,Dark Crisis,DCR-084
Keldo,5,80441106,Common,M,1st Edition,Dark Crisis,DCR-077
Guardian Kay'est,3,9633505,Common,M,1st Edition,Dark Crisis,DCR-EN009
Kelbek,4,54878498,Common,M,1st Edition,Dark Crisis,DCR-EN078
Arsenal Summoner,4,85489096,Common,M,1st Edition,Dark Crisis,DCR-EN004
Staunch Defender,5,92854392,Common,M,1st Edition,Dark Crisis,DCR-EN046
Maju Garzett,3,8794435,Common,M,1st Edition,Dark Crisis,DCR-EN024
Guardian Baou,1,73544866,Rare,M,1st Edition,Dark Crisis,DCR-EN008
Berserk Dragon,1,85605684,Super Rare,M,1st Edition,Dark Crisis,DCR-EN019
Cestus of Dagla,4,28106077,Common,M,1st Edition,Dark Crisis,DCR-EN090
Desrook Archfiend,3,72192100,Common,M,1st Edition,Dark Crisis,DCR-070
Archfiend's Oath,3,22796548,Common,M,1st Edition,Dark Crisis,DCR-EN092
Morale Boost,3,93671934,Common,M,1st Edition,Dark Crisis,DCR-EN042
Really Eternal Rest,3,28121403,Common,M,1st Edition,Dark Crisis,DCR-EN050
Shinato's Ark,2,60365591,Common,M,1st Edition,Dark Crisis,DCR-EN029
Blindly Loyal Goblin,5,35215622,Common,M,1st Edition,Dark Crisis,DCR-022
Infernalqueen Archfiend,1,8581705,Rare,M,1st Edition,Dark Crisis,DCR-071
Sakuretsu Armor,4,56120475,Common,M,1st Edition,Dark Crisis,DCR-EN102
Ray of Hope,3,82529174,Common,M,1st Edition,Dark Crisis,DCR-103
Guardian Elma,4,74367458,Common,M,1st Edition,Dark Crisis,DCR-005
Thousand Needles,4,33977496,Common,M,1st Edition,Dark Crisis,DCR-028
Rod of Silence - Kay'est,4,95515060,Common,M,1st Edition,Dark Crisis,DCR-036
Arsenal Robber,4,55348096,Common,M,1st Edition,Dark Crisis,DCR-EN048
Final Attack Orders,1,52503575,Common,M,1st Edition,Dark Crisis,DCR-045
Shooting Star Bow - Ceal,6,95638658,Common,M,1st Edition,Dark Crisis,DCR-033
Different Dimension Gate,3,56460688,Rare,M,1st Edition,Dark Crisis,DCR-044
Precious Cards from Beyond,6,68304813,Common,M,1st Edition,Dark Crisis,DCR-038
Battle-Scarred,4,94463200,Common,M,1st Edition,Dark Crisis,DCR-097
Sasuke Samurai #2,2,11760174,Common,M,1st Edition,Dark Crisis,DCR-EN059
Final Countdown,4,95308449,Common,M,1st Edition,Dark Crisis,DCR-091
Metallizing Parasite - Lunatite,3,7369217,Rare,M,1st Edition,Dark Crisis,DCR-EN074
Spell Reproduction,3,29228529,Common,M,1st Edition,Dark Crisis,DCR-EN083
Dice Re-Roll,4,83241722,Common,M,1st Edition,Dark Crisis,DCR-100
D.D. Trainer,2,86498013,Common,M,1st Edition,Dark Crisis,DCR-055
Des Feral Imp,5,81985784,Rare,M,1st Edition,Dark Crisis,DCR-EN014
Despair from the Dark,1,71200730,Common,M,1st Edition,Dark Crisis,DCR-023
Dark Scorpion - Gorg the Strong,3,48768179,Common,M,1st Edition,Dark Crisis,DCR-060
Contract with Exodia,4,33244944,Common,M,1st Edition,Dark Crisis,DCR-EN031
Mefist the Infernal General,3,46820049,Rare,M,1st Edition,Dark Crisis,DCR-066
Battle Footballer,2,48094997,Common,M,1st Edition,Dark Crisis,DCR-001
Incandescent Ordeal,2,33031674,Common,M,1st Edition,Dark Crisis,DCR-EN085
Archfiend Soldier,3,49881766,Rare,M,1st Edition,Dark Crisis,DCR-057
Dark Master - Zorc,1,97642679,Super Rare,M,1st Edition,Dark Crisis,DCR-082
Shadowknight Archfiend,4,9603356,Common,M,1st Edition,Dark Crisis,DCR-068
Goblin of Greed,2,425934,Common,M,1st Edition,Dark Crisis,DCR-065
Acrobat Monkey,2,47372349,Common,M,1st Edition,Dark Crisis,DCR-003
Checkmate,3,69313735,Common,M,1st Edition,Dark Crisis,DCR-089
Mudora,1,82108372,Super Rare,M,1st Edition,Dark Crisis,DCR-EN076
Ojama Green,3,12482652,Common,M,1st Edition,Dark Crisis,DCR-EN056
Fairy of the Spring,4,20188127,Common,M,1st Edition,Dark Crisis,DCR-040
Gagagigo,2,49003308,Common,M,1st Edition,Dark Crisis,DCR-054
Outstanding Dog Marron,3,11548522,Common,M,1st Edition,Dark Crisis,DCR-EN062
Archfiend's Roar,2,56246017,Common,M,1st Edition,Dark Crisis,DCR-EN099
Little-Winguard,2,90790253,Common,M,1st Edition,Dark Crisis,DCR-EN013
Token Thanksgiving,5,57182235,Common,M,1st Edition,Dark Crisis,DCR-041
Twin Swords of Flashing Light - Tryce,3,21900719,Common,M,1st Edition,Dark Crisis,DCR-037
Legendary Flame Lord,2,60258960,Rare,M,1st Edition,Dark Crisis,DCR-081
Gyaku-Gire Panda,3,9817927,Common,M,1st Edition,Dark Crisis,DCR-EN021
Pandemonium Watchbear,3,75375465,Common,M,1st Edition,Dark Crisis,DCR-058
Zolga,4,16268841,Common,M,1st Edition,Dark Crisis,DCR-079
Mustering of the Dark Scorpions,1,68191243,Common,M,1st Edition,Dark Crisis,DCR-093
Fear from the Dark,1,34193084,Rare,M,1st Edition,Dark Crisis,DCR-025
Rod of the Mind's Eye,3,94793422,Common,M,1st Edition,Dark Crisis,DCR-EN039
A Deal with Dark Ruler,1,6850209,Common,M,1st Edition,Dark Crisis,DCR-EN030
Agido,3,16135253,Common,M,1st Edition,Dark Crisis,DCR-080
Altar for Tribute,5,21070956,Common,M,1st Edition,Dark Crisis,DCR-EN095
Contract with the Dark Master,2,96420087,Common,M,1st Edition,Dark Crisis,DCR-087
Cost Down,2,23265313,Ultra Rare,M,1st Edition,Dark Crisis,DCR-EN053
Nin-Ken Dog,1,11987744,Common,M,1st Edition,Dark Crisis,DCR-002
Ojama Trio,3,29843091,Common,M,1st Edition,Dark Crisis,DCR-EN047
Vampire Lord,1,53839837,Secret Rare,M,1st Edition,Dark Crisis,DCR-000
Falling Down,1,32919136,Common,M,1st Edition,Dark Crisis,DCR-088
Contract with the Abyss,1,69035382,Rare,M,1st Edition,Dark Crisis,DCR-086
Dark Scorpion - Chick the Yellow,2,61587183,Common,M,1st Edition,Dark Crisis,DCR-EN026
Dark Flare Knight,1,13722870,Super Rare,M,1st Edition,Dark Crisis,DCR-EN017
Vilepawn Archfiend,2,73219648,Common,M,1st Edition,Dark Crisis,DCR-EN067
Dark Scorpion Combination,1,20858318,Rare,M,1st Edition,Dark Crisis,DCR-098
D.D. Warrior Lady,1,7572887,Super Rare,M,1st Edition,Dark Crisis,DCR-EN027